rank,name,earnings,image
39,Shawn Mendes,$54.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed56f947fe4060006bbcea8%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1925%26cropY1%3D47%26cropY2%3D964
40,Vin Diesel,$54M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-VinDiesel-Desktop-v1.jpg
40,Lewis Hamilton,$54M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627be6d809849a3247a36428%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D3485%26cropY1%3D40%26cropY2%3D1698
42,Jay-Z,$53.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed7c1a9463dda00072017ee%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1223%26cropY1%3D17%26cropY2%3D599
43,Billie Eilish,$53M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-BillieEilish-Desktop-v1.png
44,Rory McIlroy,$52M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc696936d6f40008dcdee2%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1961%26cropY1%3D366%26cropY2%3D1300
45,Simon Cowell,$51M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed574adab6ff10006ab45b3%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D255%26cropY2%3D1168
45,Jerry Seinfeld,$51M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed576228b3c370006234c2c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1308%26cropY1%3D26%26cropY2%3D649
47,BTS,$50M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-BTS-Desktop-v1.png
48,Kim Kardashian West,$49.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-KimKardashianWest-Desktop-v1.jpg
49,Drake,$49M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed578f98b3c370006234c3a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1659%26cropY1%3D40%26cropY2%3D831
49,Jared Goff,$49M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed559ec7fe4060006bbcd8b%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D22%26cropY2%3D935
49,Judy Sheindlin,$49M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5eb4357f76d463000676c814%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D499%26cropX2%3D2000%26cropY1%3D197%26cropY2%3D912
52,Akshay Kumar,$48.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-AkshayKumar-Desktop-v1.png
53,Conor McGregor,$48M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc702ffd6d6700060f85d1%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D520%26cropX2%3D3545%26cropY1%3D56%26cropY2%3D1497
54,James Harden,$47.8M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627be3c5e5d171532d8ee821%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D134%26cropX2%3D3511%26cropY1%3D151%26cropY2%3D1757
55,Giannis Antetokounmpo,$47.6M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd323672c41ea74c88a13%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D129%26cropX2%3D2966%26cropY1%3D180%26cropY2%3D1530
56,Jennifer Lopez,$47.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-JenniferLopez-Desktop-v1.png
